"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Scaphiophryne marmorata","5110.19","36","9",NA,"9","4","VU","VU B1a+B2a","66.7","VU","VU"
"Scaphiophryne menabensis",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Scaphiophryne spinosa",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Sechellophryne gardineri",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Sooglossus sechellensis",NA,"8","2",NA,"1","0","CR","CR B2a","0","CR",NA
"Sooglossus thomasseti",NA,"8","2",NA,"1","0","CR","CR B2a","0","CR",NA
"Spinomantis aglavei","45065.722","64","17",NA,"9","5","VU","VU B2a","75","VU","NT or LC"
"Spinomantis bertini","17558.079","28","8",NA,"4","4","LC","EN B2a","100","EN","VU"
"Spinomantis elegans",NA,"8","2",NA,"2","2","LC","LC B2a","100","LC",NA
"Spinomantis fimbriatus","16486.008","44","11",NA,"6","4","VU","VU B1a+B2a","81.8","VU","VU"
"Spinomantis guibei",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Spinomantis peraccae","3282.952","36","10",NA,"3","1","EN","EN B1a+B2a","90","EN","EN"
"Spinomantis phantasticus",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Stumpffia grandis","67110.607","32","8",NA,"7","3","VU","VU B2a","73.3","VU","NT or LC"
"Stumpffia psologlossa","37179.945","32","9",NA,"7","1","VU","VU B2a","6.7","VU","NT or LC"
"Stumpffia roseifemoralis",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Stumpffia tetradactyla","31140.102","16","4",NA,"4","1","EN","EN B2a","20","EN","NT or LC"
"Stumpffia tridactyla",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Tachycnemis seychellensis","1168.83","20","5",NA,"4","0","EN","EN B1a+B2a","0","EN","EN"
"Wakea madinika",NA,"8","2",NA,"2","1","EN","EN B2a","80","EN",NA
